[ROOMBASETYPE] COLLECTING
[NAME] Prbush
[COORDINATES] 0 , 4
[RESOURCETYPE] GOLD
[RESOURCESIZE]	LARGE
[OWNER] None
[TIMESBOUGHT] 0

[ROOMBASETYPE] SPECIAL
[NAME] Windkeep
[COORDINATES] 0 , -1
[ROOMTYPE] Trading Post

[ROOMBASETYPE] COLLECTING
[NAME] Corshade
[COORDINATES] 0 , 0
[RESOURCETYPE] WOOD
[RESOURCESIZE]	MEDIUM
[OWNER] None
[TIMESBOUGHT] 0

[ROOMBASETYPE] COLLECTING
[NAME] Dellwick
[COORDINATES] 0 , -2
[RESOURCETYPE] WOOD
[RESOURCESIZE]	SMALL
[OWNER] None
[TIMESBOUGHT] 0

[ROOMBASETYPE] SPECIAL
[NAME] Stonewolf
[COORDINATES] 0 , 1
[ROOMTYPE] Trading Post

[ROOMBASETYPE] COLLECTING
[NAME] Eastdragon
[COORDINATES] 0 , 2
[RESOURCETYPE] STONE
[RESOURCESIZE]	SMALL
[OWNER] None
[TIMESBOUGHT] 0

[ROOMBASETYPE] COLLECTING
[NAME] Dellbush
[COORDINATES] 0 , -3
[RESOURCETYPE] IRON
[RESOURCESIZE]	LARGE
[OWNER] None
[TIMESBOUGHT] 0

[ROOMBASETYPE] COLLECTING
[NAME] Dragonbush
[COORDINATES] 0 , 3
[RESOURCETYPE] WOOD
[RESOURCESIZE]	LARGE
[OWNER] None
[TIMESBOUGHT] 0

